Min_Temp,Max_Temp,Total_Precip,Year,Month,Day
-6.1,3.3,3.3,1923,1,1
-10.0,1.1,0.0,1923,1,2
-13.3,-10.0,1.3,1923,1,3
-12.2,-8.3,7.6,1923,1,4
-13.3,-7.2,0.0,1923,1,5
-22.8,-12.8,0.0,1923,1,6
-27.2,-17.2,0.0,1923,1,7
-17.8,-6.7,15.2,1923,1,8
